user,isMember,isVolunteer,userRole,gender,age,skill,location,status,programName,hoursContribution,averageRating,donation,membershipPayment,dateJoined,donationDuplicate,targetDonation,programVolunteers,volunteerApplicationStatus
Heather Bailey,True,True,financial coordinator,female,53,event planning,Baguio,inactive,Tree Planting,5,2.32,4995.88,2000,2023-02-19,4995.88,6479,50,
Andrew Atkins,False,False,,male,44,IT support,Davao,active,Literacy Drive,0,,4552.63,0,2023-10-15,4552.63,6261,45,majority approved
Phillip Mcmahon,False,False,,female,32,fundraising,Baguio,active,Tree Planting,0,,1507.23,0,2023-12-27,1507.23,7943,6,denied
Joseph Reid,False,True,,prefer not to say,64,nursing,Manila,inactive,Disaster Relief,99,4.75,4807.04,0,2022-09-11,4807.04,6084,32,
Alexis Villegas,False,False,,female,30,IT support,Zamboanga,inactive,Disaster Relief,0,,3046.35,0,2024-11-04,3046.35,14034,18,denied
John Holt,False,False,,female,63,nursing,Cebu,active,Feeding Program,0,,452.63,0,2024-02-26,452.63,18892,25,majority approved
James Welch,False,False,,male,29,fundraising,Baguio,inactive,Literacy Drive,0,,3676.73,0,2023-11-16,3676.73,18617,27,approved
Sharon Townsend,False,False,,female,24,event planning,Cebu,active,Disaster Relief,0,,1291.6,0,2024-04-18,1291.6,18653,42,approved
Timothy Reid,False,False,,male,43,IT support,Quezon City,inactive,Health Mission,0,,4393.74,0,2022-10-21,4393.74,18835,37,denied
Kenneth Fritz MD,True,True,admin,female,60,cooking,Davao,active,Health Mission,141,2.76,3703.77,1500,2025-02-25,3703.77,10503,34,
Catherine Howard,True,True,content manager,male,41,event planning,Quezon City,inactive,Health Mission,199,3.95,3243.12,500,2024-10-04,3243.12,6069,44,
Carl Nunez,False,False,,male,54,cooking,Manila,inactive,Tree Planting,0,,85.2,0,2024-07-31,85.2,15276,49,approved
Diane Gay,False,False,,male,27,cooking,Iloilo,active,Feeding Program,0,,2149.68,0,2025-05-04,2149.68,6018,7,majority approved
Bobby King,True,True,content manager,prefer not to say,32,fundraising,Iloilo,active,Literacy Drive,199,3.79,1535.27,1500,2022-11-19,1535.27,16440,29,
Thomas Rodriguez,False,False,,male,50,nursing,Manila,inactive,Disaster Relief,0,,9.66,0,2024-10-20,9.66,19699,21,denied
Jodi Simon,False,False,,male,53,event planning,Manila,inactive,Health Mission,0,,4227.66,0,2024-09-17,4227.66,13469,24,denied
Holly Woods,True,True,admin,female,52,fundraising,Iloilo,active,Disaster Relief,149,4.25,4553.01,500,2023-03-14,4553.01,14749,42,
Ronald Salinas,False,True,,female,25,teaching,Zamboanga,active,Literacy Drive,107,2.27,840.25,0,2022-12-23,840.25,8838,21,
Chad Hoffman,True,True,program coordinator,prefer not to say,52,nursing,Baguio,inactive,Literacy Drive,175,1.8,3225.51,500,2023-10-08,3225.51,9458,27,
Courtney Elliott,False,True,,male,65,nursing,Zamboanga,inactive,Feeding Program,35,2.94,2668.0,0,2023-03-13,2668.0,11610,28,
Jaclyn Scott,False,True,,male,32,teaching,Davao,active,Health Mission,190,3.19,946.12,0,2024-03-20,946.12,12339,26,
